Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2974,-2925,-1501,-1793,-1042
Purchases of investments,-,2240,-,-,-
Sales/Maturities of investments,1745,2240,-,-,-
Other investing activites,-,-10,-32.514,-,95.081
Net cash used for investing activites,-1239,-694.457,-1026,-1793,-299.195
Common stock issued,1000,900,1200,2208,1280
Common stock repurchased,-54.555,-60,-94.015,-132.341,-64
Net cash used privided by (used for) financing activities,920.546,840,1106,2076,1216
Net change in cash,-994.654,-527.893,-1065,-35.021,414.367
Cash at beginning of period,1320,900.629,1966,2004,1583
Cash at end of period,324.898,366.391,900.629,1966,2004
Capital Expenditure,-2974,-2925,-1501,-1793,-1042
Free Cash Flow,-3650,-3598,-2645,-2111,-1545
