Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,621000,621000,582000,-483000,2328000
Depreciation & amortization,2154000,2154000,2692000,1991000,1936000
Change in working capital,-94000,-94000,322000,78000,-894000
Inventory,-28000,-28000,-88000,54000,-13000
Other working capital,1266000,1266000,567000,446000,239000
Other non-cash items,818000,818000,817000,937000,843000
Net cash provided by operating activites,2949000,2949000,2515000,2475000,1875000
Investments in property plant and equipment,-1683000,-1683000,-1948000,-2029000,-1636000
Acquisitions net,-,-,-,0,-325000
Purchases of investments,-,-,-,-99000,-87000
Other investing activites,-196000,-196000,1034000,-900000,19000
Net cash used for investing activites,-1888000,-1888000,1997000,-3016000,-2671000
Debt repayment,-2978000,-2978000,-4122000,-5948000,-1816000
Common stock issued,-,-,-,0,0
Dividends Paid,-520000,-520000,-508000,-518000,-61000
Other financing activites,-751000,-751000,-93000,-460000,-111000
Net cash used privided by (used for) financing activities,-1639000,-1639000,-3916000,-733000,-106000
Net change in cash,-578000,-578000,596000,-1274000,-922000
Cash at beginning of period,1791000,1791000,1314000,2942000,3614000
Cash at end of period,1204000,1204000,1791000,1304000,2942000
Operating Cash Flow,2949000,2949000,2515000,2475000,1875000
Capital Expenditure,-1683000,-1683000,-1948000,-2029000,-1636000
Free Cash Flow,1266000,1266000,567000,446000,239000
