Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,142056,142056,131597,111136,102845
Interest Expense,10847,10847,7822,5387,3211
Income Before Tax,56312,56312,48655,50299,43969
Income Tax Expense,15851,15851,13324,26471,16588
Income from Continuing Operations,40461,40461,35331,23828,27381
Net Income,40461,40461,35331,23828,27381
Net Income available to common shareholders,40461,40461,35331,23828,24591
Basic EPS,-,-,0.85,0.63,0.72
Diluted EPS,-,-,0.84,0.62,0.72
Basic Average Shares,-,-,41469,38095,33934
Diluted Average Shares,-,-,42183,38611,34219
