Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,6413800,6007700,5823600,5166500
Liabilities,,,,
Total Liabilities,4771000,4301500,3800300,2927100
Stockholders' Equity,,,,
Common Stock,1200,1200,107300,1200
Retained Earnings,778500,816600,858400,1014500
Accumulated other comprehensive income,-237500,-202400,-140500,-212200
Total stockholders' equity,1640400,1704500,2023100,1988100
Total liabilities and stockholders' equity,6413800,6007700,5823600,5166500
