Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,4667000,4667000,4510000,4309000,3519049
Interest Expense,988000,988000,760000,431000,262795
Income Before Tax,1659000,1659000,1628000,1394000,919762
Income Tax Expense,248000,248000,235000,208000,207941
Income from Continuing Operations,1411000,1411000,1393000,1186000,711821
Net Income,1411000,1411000,1393000,1186000,711821
Net Income available to common shareholders,1337000,1337000,1323000,1110000,646547
Basic EPS,-,-,1.22,1.02,0.69
Diluted EPS,-,-,1.20,1.00,0.67
Basic Average Shares,-,-,1046767,1084686,904438
Diluted Average Shares,-,-,1046767,1136186,918790
