Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,11050000,8991000,2898000,2734000
Depreciation & amortization,4817000,4386000,4285000,4197000
Change in working capital,-5163000,-3375000,-726000,747000
Inventory,-3958000,-64000,-1973000,1775000
Other working capital,9622000,10133000,5502000,7204000
Other non-cash items,623000,1529000,-157000,1471000
Net cash provided by operating activites,11912000,12247000,7946000,9246000
Investments in property plant and equipment,-2290000,-2114000,-2444000,-2042000
Purchases of investments,-12000,-548000,-1217000,-1102000
Sales/Maturities of investments,1739000,2312000,1200000,1115000
Other investing activites,-1317000,-980000,-1473000,-1663000
Net cash used for investing activites,-1568000,-616000,-3932000,-3665000
Net change in cash,2314000,9644000,-4229000,2290000
Cash at beginning of period,42054000,35452000,39682000,37391000
Cash at end of period,44618000,45097000,35452000,39682000
Operating Cash Flow,11912000,12247000,7946000,9246000
Capital Expenditure,-2290000,-2114000,-2444000,-2042000
Free Cash Flow,9622000,10133000,5502000,7204000
