Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-2204,-2204,-4032,-4126,-6713
Net cash used for investing activites,-2196,-2196,-4031,-4124,-6707
Debt repayment,-8700,-8700,-7500,-10500,-5500
Dividends Paid,-6779,-6779,-12555,-9642,-14417
Other financing activites,-68,-68,-,-,-
Net cash used privided by (used for) financing activities,-10547,-10547,-11555,-13642,-8917
Net change in cash,-212,-212,-1000,-606,523
Cash at beginning of period,3169,3169,4169,4775,4252
Cash at end of period,2957,2957,3169,4169,4775
Capital Expenditure,-2204,-2204,-4032,-4126,-6713
Free Cash Flow,10327,10327,10554,13034,9434
