Breakdown,ttm,3/31/2019,12/31/2016
Net Income,3727099,3476599,3519168
Depreciation & amortization,-,853917,916261
Change in working capital,-,-53448,632644
Inventory,-,137133,365362
Other working capital,4892591,3971419,4660263
Other non-cash items,-,-225282,-90713
Net cash provided by operating activites,5228160,4353231,5107798
Investments in property plant and equipment,-335569,-381812,-447535
Purchases of investments,-,-,-1135000
Sales/Maturities of investments,-,482390,265050
Other investing activites,-,-,-1135000
Net cash used for investing activites,424809,378894,-1294759
Net change in cash,3062438,4488230,2170096
Cash at beginning of period,13502782,12499692,9372597
Cash at end of period,16565220,17134091,11557371
Operating Cash Flow,5228160,4353231,5107798
Capital Expenditure,-335569,-381812,-447535
Free Cash Flow,4892591,3971419,4660263
