Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,23169,9891,12129,7799,-271.717
Interest Expense,1691,1526,799.122,-,-
Income Before Tax,21725,8481,10510,6401,-1691
Income Tax Expense,5738,1879,2557,1250,-1052
Income from Continuing Operations,15987,6601,7952,5151,-639.22
Net Income,15987,6601,7952,5151,-639.22
Net Income available to common shareholders,15987,6601,7952,4078,-1988
Basic EPS,-,0.07,0.09,0.05,-0.02
Diluted EPS,-,0.07,0.09,0.05,-0.02
Basic Average Shares,-,91536,92054,83974,82819
Diluted Average Shares,-,98378,92054,83974,82819
