Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-5865,-5865,-22954,-22756,-25592
Other investing activites,23860,23860,12156,11325,-
Net cash used for investing activites,-5865,-5865,-22954,-22756,-25592
Net change in cash,-5635,-5635,6888,-11456,16915
Cash at beginning of period,21722,21722,14014,27303,9604
Cash at end of period,15903,15903,21722,14014,27303
Capital Expenditure,-5865,-5865,-22954,-22756,-25592
Free Cash Flow,-11703,-11703,-29539,-27185,-29090
