Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,3288,-1183,3699,5172
Change in working capital,1866,-814,-441,1843
Other working capital,976,-1780,-2460,-168
Net cash provided by operating activites,976,-1780,-2460,-168
Purchases of investments,-18810,-17509,-55051,-9269
Sales/Maturities of investments,34629,37207,48858,40531
Other investing activites,-,-,-,622
Net cash used for investing activites,15819,19698,-6193,17466
Net change in cash,17328,7748,-23774,18954
Cash at beginning of period,2960,5455,29229,10275
Cash at end of period,20288,13203,5455,29229
Operating Cash Flow,976,-1780,-2460,-168
Free Cash Flow,976,-1780,-2460,-168
