Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,699197,699197,457788,361089,319000
Interest Expense,131228,131228,69934,34222,19694
Income Before Tax,211584,211584,151490,124282,105246
Income Tax Expense,50143,50143,30463,50734,33146
Income from Continuing Operations,161441,161441,121027,73548,72100
Net Income,161441,161441,121027,73548,72100
Net Income available to common shareholders,161441,161441,121027,73548,72100
Basic EPS,-,-,2.81,2.00,2.10
Diluted EPS,-,-,2.80,1.98,2.08
Basic Average Shares,-,-,43142,36828,34347
Diluted Average Shares,-,-,43248,37144,34702
