Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,871767,871767,635592,255007,64826
Interest Expense,89238,89238,95624,19879,3459
Income Before Tax,178493,178493,200800,3378,-111747
Income Tax Expense,12286,12286,62288,11480,-13276
Income from Continuing Operations,165664,165664,138512,-8102,-98471
Net Income,165664,165664,138512,-8102,-98471
Net Income available to common shareholders,143159,143159,138512,-55817,-116400
Basic EPS,-,-,1.44,-0.57,-1.19
Diluted EPS,-,-,1.28,-0.57,-1.19
Basic Average Shares,-,-,97710,97710,97710
Diluted Average Shares,-,-,111183,111183,111183
