Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,24830000,32499000,31680000,24185000
Depreciation & amortization,36774000,36420000,35353000,34490000
Change in working capital,7081000,-14977000,-2751000,-9540000
Inventory,3664000,-5590000,-6803000,-6743000
Other working capital,30661000,7699000,39617000,11551000
Other non-cash items,-276000,-2499000,2437000,8376000
Net cash provided by operating activites,75516000,50462000,73386000,53418000
Investments in property plant and equipment,-44855000,-42763000,-33769000,-41867000
Acquisitions net,-2431000,-1896000,-1391000,-595000
Purchases of investments,-262000,-122000,-245000,-448000
Sales/Maturities of investments,106000,5000,21000,132000
Other investing activites,315000,-139000,370000,1086000
Net cash used for investing activites,-45222000,-42663000,-33978000,-40829000
Net change in cash,-2501000,-16234000,11456000,-5382000
Cash at beginning of period,31818000,48529000,35806000,41188000
Cash at end of period,29140000,32295000,48529000,35806000
Operating Cash Flow,75516000,50462000,73386000,53418000
Capital Expenditure,-44855000,-42763000,-33769000,-41867000
Free Cash Flow,30661000,7699000,39617000,11551000
