Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-70.9949,-70.9949,-174.8356,-225.9154,-219.4859
Purchases of investments,36.0049,36.0049,50.0071,-52.8872,-
Sales/Maturities of investments,-,-,50.0071,-,163.7756
Other investing activites,-,-,-,-,6551
Net cash used for investing activites,-34.99,-34.99,-124.8286,-278.8026,6495
Debt repayment,-,-,-44.9561,-40,-103.021
Common stock issued,5136,5136,2987,4398,354.4348
Other financing activites,-80.9035,-80.9035,338.9034,166.3051,-
Net cash used privided by (used for) financing activities,5055,5055,3281,4524,704.3062
Net change in cash,1212,1212,-3142,-91.6436,3491
Cash at beginning of period,725.9092,725.9092,4017,3646,743.466
Cash at end of period,1957,1957,720.5611,3635,3930
Capital Expenditure,-70.9949,-70.9949,-174.8356,-225.9154,-219.4859
Free Cash Flow,-3878,-3878,-6474,-4563,-3928
