Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-12.405,-6.863,-9.468,-26.059,-169.27
Purchases of investments,-,-3.682,-22.401,-24.127,-24.127
Sales/Maturities of investments,-,16.211,58.785,3503,5406
Other investing activites,-,-,45.145,-,1600
Net cash used for investing activites,-1.682,5.666,72.061,3452,6813
Debt repayment,-,-,-64.649,-105.388,-111.977
Common stock issued,-,1808,6132,6090,-
Common stock repurchased,-149.505,-40.281,-261.135,-308.404,-
Net cash used privided by (used for) financing activities,3472,1768,5806,5676,-111.977
Net change in cash,1055,-275.53,1729,-1783,-1750
Cash at beginning of period,936.927,2370,647.71,2495,4110
Cash at end of period,1992,2094,2370,647.71,2495
Capital Expenditure,-12.405,-6.863,-9.468,-26.059,-169.27
Free Cash Flow,-2427,-2056,-4159,-10938,-8620
