Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1327000,1176000,1583000,1856000
Depreciation & amortization,-,1546000,1303000,1202000
Change in working capital,-,-361000,-1028000,64000
Inventory,-,-57000,-650000,31000
Other working capital,-,-339000,-220000,2776000
Other non-cash items,-,-73000,-227000,-12000
Net cash provided by operating activites,-,2227000,1773000,4158000
Investments in property plant and equipment,-,-2566000,-1993000,-1382000
Acquisitions net,-,-987000,-,-
Purchases of investments,-,-2204000,-2409000,-3003000
Sales/Maturities of investments,-,5501000,2351000,1204000
Other investing activites,-,2000,-1908000,-2119000
Net cash used for investing activites,-,-254000,-3959000,-5300000
Net change in cash,-,781000,-3464000,-2999000
Cash at beginning of period,-,4778000,8243000,11242000
Cash at end of period,-,5560000,4778000,8243000
Operating Cash Flow,-,2227000,1773000,4158000
Capital Expenditure,-,-2566000,-1993000,-1382000
Free Cash Flow,-,-339000,-220000,2776000
