Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,138854,180251,305253,539681
Depreciation & amortization,-,764541,902476,1061796
Change in working capital,-,-307496,66988,227056
Inventory,-,-160438,-28986,98620
Other working capital,-,228596,779777,420573
Other non-cash items,-,3289,29685,-161065
Net cash provided by operating activites,-,707583,1236499,1578940
Investments in property plant and equipment,-,-478987,-456722,-1158367
Purchases of investments,-,-1181702,-300000,-1934046
Sales/Maturities of investments,-,759791,88027,695312
Other investing activites,-,-52257,-4469,113835
Net cash used for investing activites,-,-948374,-375465,-2093029
Net change in cash,-,-763729,334278,-1071134
Cash at beginning of period,-,2938792,2604514,3674461
Cash at end of period,-,2175063,2938792,2604514
Operating Cash Flow,-,707583,1236499,1578940
Capital Expenditure,-,-478987,-456722,-1158367
Free Cash Flow,-,228596,779777,420573
