Breakdown,ttm,6/30/2019
Common stock issued,-,5000
Common stock repurchased,-,-504.755
Net cash used privided by (used for) financing activities,-,4495
Net change in cash,1998,3320
Cash at beginning of period,901.52,607.572
Cash at end of period,2900,3927
Free Cash Flow,-1484,-1175
