Attribute,Value
Previous Close,21.00
Open,19.00
Bid,N/A x N/A
Ask,N/A x N/A
Day's Range,19.00 - 19.90
52 Week Range,11.37 - 26.95
Volume,512
Avg. Volume,
Net Assets,
NAV,
PE Ratio (TTM),
Yield,
YTD Daily Total Return,
Beta (5Y Monthly),
Expense Ratio (net),
Inception Date,
