Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1447211,1290311,521375,773181
Depreciation & amortization,-,538375,461085,480487
Change in working capital,-,132851,-2343113,2236973
Inventory,-,-67834,-2005886,2127025
Other working capital,-,-215073,-3928504,2568278
Other non-cash items,-,57155,155530,195635
Net cash provided by operating activites,-,2563636,-757559,2962144
Investments in property plant and equipment,-,-2778709,-3170945,-393866
Acquisitions net,-,-,-304308,-
Purchases of investments,-,-118212,-13519,-67284
Sales/Maturities of investments,-,125840,97651,35007
Other investing activites,-,9396,86880,-16332
Net cash used for investing activites,-,-2934206,-3339532,-428898
Net change in cash,-,823167,-500802,-111624
Cash at beginning of period,-,5264839,5765641,5877266
Cash at end of period,-,6088006,5264839,5765641
Operating Cash Flow,-,2563636,-757559,2962144
Capital Expenditure,-,-2778709,-3170945,-393866
Free Cash Flow,-,-215073,-3928504,2568278
