Breakdown,ttm,6/30/2019,6/30/2018
Purchases of investments,-146422,-15870,-6875
Sales/Maturities of investments,-,8850,-
Net cash used for investing activites,-140672,-7020,-6875
Common stock issued,-,618,376
Dividends Paid,-29361,-26720,-12454
Net cash used privided by (used for) financing activities,115634,-26102,-12078
Net change in cash,643,-572,750
Cash at beginning of period,122,900,150
Cash at end of period,765,328,900
Free Cash Flow,25681,32550,19703
