Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-130.95,-146.725,-868.93,-57.023,-1500
Net cash used for investing activites,-130.95,-146.725,-868.93,-57.023,-1500
Debt repayment,-,-101.027,-61.859,-120.399,568.404
Common stock issued,-,2017,1767,3142,1.25
Net cash used privided by (used for) financing activities,4044,1916,1705,3021,569.654
Net change in cash,1961,215.194,-714.899,1709,-2530
Cash at beginning of period,961.976,1875,2590,881.823,3412
Cash at end of period,2923,2091,1875,2590,881.823
Capital Expenditure,-130.95,-146.725,-868.93,-57.023,-1500
Free Cash Flow,-2084,-1701,-2420,-1313,-3100
