Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,5712882,5173331,4910451,4415920
Liabilities,,,,
Total Liabilities,5385383,4852669,4599547,4116292
Stockholders' Equity,,,,
Common Stock,148707,145380,141349,134756
Retained Earnings,175880,170568,164358,159320
Accumulated other comprehensive income,2912,4714,5197,5552
Total stockholders' equity,327499,320662,310904,299628
Total liabilities and stockholders' equity,5712882,5173331,4910451,4415920
