Breakdown,6/30/2019,6/30/2018,6/30/2017
Total Assets,1479992,1284128,1134139
Liabilities,,,
Total Liabilities,1345027,1166065,1030127
Stockholders' Equity,,,
Retained Earnings,135410,116394,103022
Accumulated other comprehensive income,-11103,-8989,-9668
Total stockholders' equity,134965,118063,104012
Total liabilities and stockholders' equity,1479992,1284128,1134139
