Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4191000,4189000,4023000,3791000
Depreciation & amortization,-,2762000,2405000,2137000
Stock based compensation,-,36000,75000,80000
Change in working capital,-,-503000,-1782000,-517000
Inventory,-,-984000,-343000,-775000
Other working capital,-,1249000,-2010000,3381000
Other non-cash items,-,-212000,-15000,137000
Net cash provided by operating activites,-,6018000,4525000,5660000
Investments in property plant and equipment,-,-4769000,-6535000,-2279000
Purchases of investments,-,-14000,-30000,-34000
Sales/Maturities of investments,-,2183000,365000,221000
Other investing activites,-,-67000,-16000,-30000
Net cash used for investing activites,-,-2552000,-6216000,-2146000
Net change in cash,-,2356000,-2767000,1992000
Cash at beginning of period,-,12867000,15635000,13643000
Cash at end of period,-,15224000,12867000,15635000
Operating Cash Flow,-,6018000,4525000,5660000
Capital Expenditure,-,-4769000,-6535000,-2279000
Free Cash Flow,-,1249000,-2010000,3381000
