Breakdown,2/28/2019,2/28/2018,2/28/2017
Total Assets,721248,808532,649833
Liabilities,,,
Total Liabilities,47159,87090,52760
Stockholders' Equity,,,
Common Stock,12498,12498,12498
Total stockholders' equity,674089,721442,597073
Total liabilities and stockholders' equity,721248,808532,649833
