Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,281517,268500,250552,197271
Liabilities,,,,
Total Liabilities,28404,47538,24590,17476
Stockholders' Equity,,,,
Common Stock,19481,19481,19481,19481
Total stockholders' equity,253113,220962,225962,179795
Total liabilities and stockholders' equity,281517,268500,250552,197271
