Breakdown,ttm,9/30/2019
Total Revenue,5287528,4493131
Cost of Revenue,2392630,1928999
Gross Profit,2894896,2564131
Total Operating Expenses,2533802,2293921
Operating Income or Loss,361094,270210
Interest Expense,-,597
Income Before Tax,344073,241432
Income Tax Expense,122033,210834
Income from Continuing Operations,222040,30598
Net Income,207013,16384
Net Income available to common shareholders,207013,16384
Basic EPS,-,0.91
Diluted EPS,-,0.91
Basic Average Shares,-,17935
Diluted Average Shares,-,17935
