Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1378101,775343,544978,503829
Depreciation & amortization,-,124216,126167,128579
Change in working capital,-,-1364067,890306,-745928
Inventory,-,-98520,513447,-39076
Other working capital,-,-676431,1480699,-76646
Other non-cash items,-,3384,4630,1656
Net cash provided by operating activites,-,-581162,1566094,-11297
Investments in property plant and equipment,-,-95269,-85395,-65349
Purchases of investments,-,-36503,-490,-470
Sales/Maturities of investments,-,101988,-,-
Other investing activites,-,-,-36004,263991
Net cash used for investing activites,-,-29784,-121560,198958
Net change in cash,-,-723312,1327941,83204
Cash at beginning of period,-,3272555,1944614,1861409
Cash at end of period,-,2549243,3272555,1944614
Operating Cash Flow,-,-581162,1566094,-11297
Capital Expenditure,-,-95269,-85395,-65349
Free Cash Flow,-,-676431,1480699,-76646
