Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1433,-1548,-3417,-2932,-2837
Other investing activites,-,-,-,-20,-520.864
Net cash used for investing activites,1420,-1548,-3417,-2952,-3358
Debt repayment,-,-400,-100,-,-
Common stock issued,-,3021,4436,2550,5698
Common stock repurchased,-,-242.158,-223.261,-151.381,-329.768
Net cash used privided by (used for) financing activities,-,2379,4712,2498,5368
Net change in cash,2040,-77.732,-60.073,-1332,1384
Cash at beginning of period,405.583,447.043,507.116,1839,455.797
Cash at end of period,2445,369.311,447.043,507.116,1839
Capital Expenditure,-1433,-1548,-3417,-2932,-2837
Free Cash Flow,-1824,-2457,-4773,-3811,-3464
