Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,13546785,11982746,10259709
Liabilities,,,
Total Liabilities,4118687,3960612,3180105
Stockholders' Equity,,,
Common Stock,973180,978478,978478
Retained Earnings,4136960,3963162,3608346
Total stockholders' equity,9383530,7976445,7036514
Total liabilities and stockholders' equity,13546785,11982746,10259709
