Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,38326,41107,36882,35234,32284
Interest Expense,4072,3935,4163,4178,4109
Income Before Tax,37508,40265,36101,34149,31214
Income Tax Expense,1542,2247,1547,1349,708
Income from Continuing Operations,35966,38018,34554,32800,30506
Net Income,35966,38018,34554,32800,30506
Net Income available to common shareholders,35966,38018,34554,32800,30506
Basic EPS,-,0.18,0.17,0.16,0.15
Diluted EPS,-,0.18,0.17,0.16,0.15
Basic Average Shares,-,210465,209356,208179,206951
Diluted Average Shares,-,210465,209356,208179,206951
