Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2200465,2153658,2228121,1556732
Liabilities,,,,
Total Liabilities,1884136,1849618,1950250,1376889
Stockholders' Equity,,,,
Common Stock,93,95,93.955,73.502
Retained Earnings,150158,141447,117313,104647
Accumulated other comprehensive income,692,-2206,-954.861,11.766
Total stockholders' equity,316329,304040,277871,179843
Total liabilities and stockholders' equity,2200465,2153658,2228121,1556732
