Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-15.823,-,-,-
Purchases of investments,-24,-8.159,-8,-,-
Sales/Maturities of investments,-,-,6.36,-,358.414
Net cash used for investing activites,20797,96.018,16.397,52.5,628.414
Common stock issued,-,1050,1859,717,1675
Common stock repurchased,-7291,-39,-84.82,-28.578,-76.728
Other financing activites,-,-,-,-,200
Net cash used privided by (used for) financing activities,-7163,956,2504,688.422,1798
Net change in cash,11181,-637.51,750.957,-862.33,964.645
Cash at beginning of period,420.93,1474,723.262,1586,620.947
Cash at end of period,11602,836.709,1474,723.262,1586
Capital Expenditure,-,-15.823,-,-,-
Free Cash Flow,-2458,-1690,-1769,-1603,-1462
