Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1993238,2088478,1597847,1213611
Depreciation & amortization,-,616886,616704,537900
Change in working capital,-,-978380,171922,-129373
Inventory,-,-608922,121163,-520346
Other working capital,-,1448972,1780560,464625
Other non-cash items,-,27420,87138,-15359
Net cash provided by operating activites,-,1921810,2670956,1495317
Investments in property plant and equipment,-,-472838,-890396,-1030692
Sales/Maturities of investments,-,510,-,-
Other investing activites,-,1092,-33479,68963
Net cash used for investing activites,-,-471236,-923875,-961729
Net change in cash,-,877574,1320250,-5163
Cash at beginning of period,-,5044878,3724627,3729791
Cash at end of period,-,5922452,5044878,3724627
Operating Cash Flow,-,1921810,2670956,1495317
Capital Expenditure,-,-472838,-890396,-1030692
Free Cash Flow,-,1448972,1780560,464625
