Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-19.322,-37.209,-80.196
Other investing activites,-,-,-55
Net cash used for investing activites,-19.322,-37.209,-135.196
Debt repayment,-,-,-5.661
Common stock issued,-,42.442,5145
Common stock repurchased,-,-0.33,-488.7
Net cash used privided by (used for) financing activities,-,42.112,4651
Net change in cash,-1458,-1858,2940
Cash at beginning of period,2043,2980,40.211
Cash at end of period,584.844,1123,2980
Capital Expenditure,-19.322,-37.209,-80.196
Free Cash Flow,-1458,-1900,-1656
