Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2497000,2728000,2187000,3990000
Depreciation & amortization,-,3541000,3548000,3388000
Change in working capital,-,4899000,6771000,3737000
Inventory,-,5258000,6577000,3462000
Other working capital,-,-981000,1407000,2273000
Other non-cash items,-,1053000,-368000,124000
Net cash provided by operating activites,-,12466000,12506000,11774000
Investments in property plant and equipment,-,-13447000,-11099000,-9501000
Acquisitions net,-,-700000,-,-
Sales/Maturities of investments,-,1291000,102000,2000
Other investing activites,-,-1479000,-680000,-529000
Net cash used for investing activites,-,-13541000,-11677000,-7897000
Net change in cash,-,-53000,1057000,3845000
Cash at beginning of period,-,10233000,9175000,5330000
Cash at end of period,-,10179000,10233000,9175000
Operating Cash Flow,-,12466000,12506000,11774000
Capital Expenditure,-,-13447000,-11099000,-9501000
Free Cash Flow,-,-981000,1407000,2273000
