Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,18956000,17111000,14933000,13964000
Depreciation & amortization,-,5323000,5072000,4407000
Change in working capital,-,-656000,-12530000,-5939000
Inventory,-,-10668000,-3049000,-534000
Other working capital,-,17078000,9151000,7710000
Other non-cash items,-,-2961000,6597000,-100000
Net cash provided by operating activites,-,19690000,13138000,12449000
Investments in property plant and equipment,-,-2612000,-3987000,-4739000
Acquisitions net,-,-,-,-291000
Purchases of investments,-,-2030000,-3240000,-2334000
Sales/Maturities of investments,-,3156000,3858000,2000000
Other investing activites,-,-138000,-2776000,5000
Net cash used for investing activites,-,-1624000,-6145000,-5359000
Net change in cash,-,1753000,1099000,2117000
Cash at beginning of period,-,46682000,45582000,43133000
Cash at end of period,-,48436000,46682000,45582000
Operating Cash Flow,-,19690000,13138000,12449000
Capital Expenditure,-,-2612000,-3987000,-4739000
Free Cash Flow,-,17078000,9151000,7710000
