Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-252.853,-2143,-6913,-4065
Acquisitions net,-,-,-3437,-8107
Other investing activites,-,-,-0.001,-
Net cash used for investing activites,114.613,-1356,-6479,-12173
Debt repayment,-175.712,-447,-335.496,-4011
Common stock issued,-,4045,7.5,23753
Common stock repurchased,-1392,-382,-,-1261
Net cash used privided by (used for) financing activities,-922.127,3341,1646,20313
Net change in cash,-2387,-1968,-3485,5505
Cash at beginning of period,3471,2859,6344,838.598
Cash at end of period,1084,890.685,2859,6344
Capital Expenditure,-252.853,-2143,-6913,-4065
Free Cash Flow,-1833,-6096,-5565,-6700
