Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1691000,1691000,2345000,-1259000,-575000
Depreciation & amortization,14222000,14222000,9802000,9354000,8550000
Change in working capital,1948000,1948000,2711000,-7261000,-7854000
Inventory,16000,16000,-313000,-1000,-148000
Other working capital,3171000,3171000,-1466000,-12603000,-8778000
Other non-cash items,-,-,1378000,6307000,7279000
Net cash provided by operating activites,15342000,15342000,14525000,4323000,6108000
Investments in property plant and equipment,-12171000,-12171000,-15991000,-16926000,-14886000
Acquisitions net,-1697000,-1697000,-,-,-
Purchases of investments,-60000,-60000,-,-,-105000
Sales/Maturities of investments,1796000,1796000,4639000,1095000,62000
Other investing activites,-,-,865000,-1549000,4782000
Net cash used for investing activites,-11604000,-11604000,-8632000,-15636000,-9695000
Net change in cash,1269000,1269000,771000,-3022000,2637000
Cash at beginning of period,7653000,7653000,6914000,9778000,7207000
Cash at end of period,8881000,8881000,7653000,6914000,9778000
Operating Cash Flow,15342000,15342000,14525000,4323000,6108000
Capital Expenditure,-12171000,-12171000,-15991000,-16926000,-14886000
Free Cash Flow,3171000,3171000,-1466000,-12603000,-8778000
