Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1335000,1335000,2155000,3001000,3499000
Depreciation & amortization,3762000,3762000,3753000,3036000,2357000
Change in working capital,-346000,-346000,-639000,-50000,926000
Inventory,-316000,-316000,-13000,-548000,-343000
Other working capital,509000,509000,1247000,1958000,1831000
Other non-cash items,1024000,1024000,496000,980000,-333000
Net cash provided by operating activites,2969000,2969000,2618000,3578000,4145000
Investments in property plant and equipment,-2460000,-2460000,-1371000,-1620000,-2314000
Acquisitions net,-783000,-783000,-536000,-1960000,-2898000
Purchases of investments,-13000,-13000,-102000,-441000,-396000
Sales/Maturities of investments,212000,212000,429000,70000,3000
Other investing activites,150000,150000,-,-,-
Net cash used for investing activites,-657000,-657000,963000,-2328000,-3969000
Net change in cash,547000,547000,1537000,-1686000,-1148000
Cash at beginning of period,4671000,4671000,3172000,4924000,6051000
Cash at end of period,5223000,5223000,4671000,3172000,4924000
Operating Cash Flow,2969000,2969000,2618000,3578000,4145000
Capital Expenditure,-2460000,-2460000,-1371000,-1620000,-2314000
Free Cash Flow,509000,509000,1247000,1958000,1831000
