Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3669000,4565000,5120000,4578000
Depreciation & amortization,-,2753000,2571000,2725000
Change in working capital,-,667000,-6393000,-4188000
Inventory,-,-1836000,481000,-4046000
Other working capital,-,7000000,1163000,1876000
Other non-cash items,-,314000,616000,-382000
Net cash provided by operating activites,-,7000000,1163000,1876000
Acquisitions net,-,-,-,-1190000
Purchases of investments,-,-528000,-1396000,-623000
Sales/Maturities of investments,-,381000,240000,240000
Other investing activites,-,-3952000,-3315000,-655000
Net cash used for investing activites,-,-4091000,-4464000,-1761000
Net change in cash,-,175000,-6192000,3423000
Cash at beginning of period,-,9793000,15885000,12462000
Cash at end of period,-,9969000,9793000,15885000
Operating Cash Flow,-,7000000,1163000,1876000
Free Cash Flow,-,7000000,1163000,1876000
