Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,3763659,3221521,2768773,2573821
Liabilities,,,,
Total Liabilities,3458693,2958691,2524863,2362037
Stockholders' Equity,,,,
Retained Earnings,201503,171780,148298,134295
Accumulated other comprehensive income,6939,-3996,-343,-121
Total stockholders' equity,304966,262830,243910,211784
Total liabilities and stockholders' equity,3763659,3221521,2768773,2573821
