Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,33176000,27892000,32488000,28458000
Depreciation & amortization,11410000,10560000,11293000,9070000
Change in working capital,-6367000,-9209000,-6702000,341000
Inventory,-1967000,-2213000,-513000,-994000
Other working capital,30005000,18255000,23189000,22560000
Other non-cash items,2256000,1351000,789000,-78000
Net cash provided by operating activites,42743000,33511000,37096000,37161000
Investments in property plant and equipment,-12738000,-15256000,-13907000,-14601000
Acquisitions net,-,-,-20618000,-
Purchases of investments,-1138000,-1274000,-892000,-403000
Sales/Maturities of investments,1460000,1210000,298000,1963000
Other investing activites,-20000,-70000,-383000,-351000
Net cash used for investing activites,-24950000,-7163000,-35394000,-11982000
Net change in cash,-16439000,6330000,-24137000,25489000
Cash at beginning of period,119649000,99797000,123935000,98445000
Cash at end of period,103423000,106198000,99797000,123935000
Operating Cash Flow,42743000,33511000,37096000,37161000
Capital Expenditure,-12738000,-15256000,-13907000,-14601000
Free Cash Flow,30005000,18255000,23189000,22560000
