Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-6021,-4239,-813.307
Acquisitions net,-,315.8,-
Net cash used for investing activites,-6163,-3923,-813.307
Debt repayment,-,-135.551,-1620
Common stock issued,-,1885,7088
Common stock repurchased,-,-9.995,-434.955
Net cash used privided by (used for) financing activities,472.915,1787,5387
Net change in cash,-5433,-4321,2736
Cash at beginning of period,7786,8942,6206
Cash at end of period,2354,4621,8942
Capital Expenditure,-6021,-4239,-813.307
Free Cash Flow,-5764,-6424,-2651
