Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,57719,57719,51565,46186,39826
Interest Expense,6028,6028,5155,4587,4778
Income Before Tax,20464,20464,19359,14272,7217
Income Tax Expense,5503,5503,3629,6928,1958
Income from Continuing Operations,14961,14961,15730,7344,5259
Net Income,14961,14961,15730,7344,5259
Net Income available to common shareholders,14961,14961,15730,7344,5259
Basic EPS,-,-,0.97,0.48,0.39
Diluted EPS,-,-,0.96,0.48,0.39
Basic Average Shares,-,-,16248,15207,13367
Diluted Average Shares,-,-,16332,15310,13425
