Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4552000,4402000,5895000,5116000
Depreciation & amortization,5785000,4609000,3803000,3520000
Change in working capital,2662000,-1713000,-3228000,-3378000
Inventory,-1683000,-3914000,-1311000,1351000
Other working capital,11161000,3120000,5282000,6626000
Other non-cash items,3396000,1307000,1700000,2555000
Net cash provided by operating activites,16651000,10052000,9158000,10547000
Investments in property plant and equipment,-5490000,-6932000,-3876000,-3921000
Acquisitions net,-13419000,-8237000,-,-157000
Purchases of investments,-5000,-5000,-54000,-1000
Sales/Maturities of investments,1224000,466000,228000,485000
Other investing activites,227000,-411000,-818000,-1012000
Net cash used for investing activites,-17269000,-15079000,-2711000,-4231000
Net change in cash,2640000,6097000,293000,-660000
Cash at beginning of period,12219000,10767000,10474000,11134000
Cash at end of period,14878000,16865000,10767000,10474000
Operating Cash Flow,16651000,10052000,9158000,10547000
Capital Expenditure,-5490000,-6932000,-3876000,-3921000
Free Cash Flow,11161000,3120000,5282000,6626000
