Breakdown,10/31/2019,10/31/2018,10/31/2017
Total Assets,1146483,1133118,1179376
Liabilities,,,
Total Liabilities,392173,391812,381409
Stockholders' Equity,,,
Common Stock,790471,803100,799192
Retained Earnings,-9375,-6092,-10539
Total stockholders' equity,754310,741306,797968
Total liabilities and stockholders' equity,1146483,1133118,1179376
