Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,309834,272314,314220,256072
Liabilities,,,,
Total Liabilities,58746,61526,56977,48349
Stockholders' Equity,,,,
Common Stock,6430,6430,6430,5597
Total stockholders' equity,251088,210788,257243,207723
Total liabilities and stockholders' equity,309834,272314,314220,256072
