Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,34722000,34359000,34780000,29011000
Depreciation & amortization,-,13928000,15374000,13794000
Change in working capital,-,9872000,4400000,4517000
Inventory,-,14000,1592000,-4386000
Other working capital,-,45225000,33058000,12117000
Other non-cash items,-,312000,237000,-1260000
Net cash provided by operating activites,-,63716000,63558000,47954000
Investments in property plant and equipment,-,-18491000,-30500000,-35837000
Acquisitions net,-,-3940000,-21449000,-98000
Purchases of investments,-,-3405000,-777000,-4062000
Sales/Maturities of investments,-,910000,471000,19618000
Other investing activites,-,400000,476000,6994000
Net cash used for investing activites,-,-23512000,-43064000,-11354000
Net change in cash,-,9448000,36329000,18904000
Cash at beginning of period,-,220563000,182561000,163317000
Cash at end of period,-,230011000,220563000,182561000
Operating Cash Flow,-,63716000,63558000,47954000
Capital Expenditure,-,-18491000,-30500000,-35837000
Free Cash Flow,-,45225000,33058000,12117000
