Breakdown,ttm,12/31/2019,12/31/2018
Net Income,23717,23717,19897
Change in working capital,1177,1177,-1601
Other working capital,16304,16304,5406
Other non-cash items,3219,3219,1607
Net cash provided by operating activites,16304,16304,5406
Purchases of investments,-137724,-137724,-163995
Other investing activites,2089,2089,3265
Net cash used for investing activites,-135472,-135472,-160580
Net change in cash,-32614,-32614,42588
Cash at beginning of period,97346,97346,54758
Cash at end of period,64732,64732,97346
Operating Cash Flow,16304,16304,5406
Free Cash Flow,16304,16304,5406
