Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,1965000,1854200,1905600
Liabilities,,,
Total Liabilities,63200,144000,171000
Stockholders' Equity,,,
Common Stock,0,0,0
Retained Earnings,1281400,1149800,1174200
Total stockholders' equity,1901800,1710200,1734600
Total liabilities and stockholders' equity,1965000,1854200,1905600
