Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,159589,159589,155849,163832,151237
Interest Expense,90847,90847,75384,59366,52141
Income Before Tax,46862,46862,66715,88738,133471
Income Tax Expense,10676,10676,15427,36856,60957
Income from Continuing Operations,36186,36186,51288,51882,72514
Net Income,36186,36186,51288,51882,72514
Net Income available to common shareholders,36002,36002,51128,51751,72405
Basic EPS,-,-,1.38,1.38,1.97
Diluted EPS,-,-,1.38,1.38,1.97
Basic Average Shares,-,-,37088,37596,36809
Diluted Average Shares,-,-,37088,37596,36809
