Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,7992400,7180903,7486809,7882563
Liabilities,,,,
Total Liabilities,6893253,6140090,6463345,6956628
Stockholders' Equity,,,,
Common Stock,729330,729330,729330,678872
Retained Earnings,305399,260304,245006,197363
Accumulated other comprehensive income,6327,-3792,-4063,627
Total stockholders' equity,1099147,1040813,1023464,925935
Total liabilities and stockholders' equity,7992400,7180903,7486809,7882563
