Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,489563,377591,624317,879688
Depreciation & amortization,-,186261,199190,261059
Change in working capital,-,82531,112674,-1257962
Inventory,-,-238522,-381126,-519368
Other working capital,-,364710,-946542,-1013230
Other non-cash items,-,138515,-356059,509030
Net cash provided by operating activites,-,559989,-374715,-545929
Investments in property plant and equipment,-,-195279,-571827,-467301
Acquisitions net,-,-651987,-15851,-
Purchases of investments,-,-972306,-780260,-37430
Sales/Maturities of investments,-,91371,57973,2533304
Other investing activites,-,-5123,104140,71147
Net cash used for investing activites,-,-1505563,-945459,1490389
Net change in cash,-,-930604,-277751,1479651
Cash at beginning of period,-,2555983,2833734,1354083
Cash at end of period,-,1625379,2555983,2833734
Operating Cash Flow,-,559989,-374715,-545929
Capital Expenditure,-,-195279,-571827,-467301
Free Cash Flow,-,364710,-946542,-1013230
