Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,80305000,84006000,81760000,80456000
Selling General and Administrative,40620000,40867000,41242000,41230000
Total Operating Expenses,57603000,61066000,61317000,60313000
Interest Expense,5493000,9714000,10084000,9045000
Income Before Tax,18604000,19179000,19685000,20366000
Income Tax Expense,5987000,5946000,5978000,6595000
Income from Continuing Operations,12617000,13233000,13707000,13771000
Net Income,12629000,13205000,13692000,13399000
Net Income available to common shareholders,12629000,13205000,13692000,13399000
Basic EPS,-,84.58,87.76,85.27
Diluted EPS,-,84.35,87.47,84.91
Basic Average Shares,-,156119,156010,157131
Diluted Average Shares,-,156550,156534,157802
