Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-11.381,-3.183,-36.344,-110.313,-66.338
Other investing activites,-,29.718,356.395,-,-36
Net cash used for investing activites,18.337,26.535,320.051,-110.313,-102.338
Common stock issued,1996,1941,3058,2071,10600
Common stock repurchased,-,-104.717,-130.858,-156.271,-606.651
Net cash used privided by (used for) financing activities,2003,2136,2927,1915,9993
Net change in cash,-237.845,-672.773,-401.248,-2408,-657.294
Cash at beginning of period,418.827,1080,1481,3889,4546
Cash at end of period,180.982,407.082,1080,1481,3889
Capital Expenditure,-11.381,-3.183,-36.344,-110.313,-66.338
Free Cash Flow,-2271,-2839,-3685,-4322,-10615
