Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,1156921,1151535,1133939
Liabilities,,,
Total Liabilities,1023799,1034634,1022675
Stockholders' Equity,,,
Common Stock,226,226,225
Retained Earnings,70428,56552,48335
Accumulated other comprehensive income,-2626,-4748,-1687
Total stockholders' equity,133122,116901,111264
Total liabilities and stockholders' equity,1156921,1151535,1133939
