Breakdown,ttm,12/31/2019
Net Income,62199,62199
Change in working capital,-81,-81
Other working capital,-660,-660
Net cash provided by operating activites,-660,-660
Purchases of investments,-264000,-264000
Net cash used for investing activites,-263450,-263450
Net change in cash,-264110,-264110
Cash at beginning of period,266167,266167
Cash at end of period,2057,2057
Operating Cash Flow,-660,-660
Free Cash Flow,-660,-660
