Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-169.342,-226.555,-294.236,-239.884,-
Acquisitions net,-,-,-126.199,-131.113,-
Sales/Maturities of investments,-,-,-,-,44.992
Net cash used for investing activites,-169.342,-226.555,-420.435,-370.997,44.992
Common stock issued,429.953,508.953,1250,1561,75.9
Common stock repurchased,-,-39.32,-66,-119.77,-
Net cash used privided by (used for) financing activities,407.502,469.633,1184,1441,75.9
Net change in cash,-10.103,-218.86,-143.496,344.97,-178.096
Cash at beginning of period,87.701,382.947,527.351,182.381,360.746
Cash at end of period,77.598,164.087,382.947,527.351,182.381
Capital Expenditure,-169.342,-226.555,-294.236,-239.884,-
Free Cash Flow,-417.605,-688.493,-1202,-965.361,-298.988
