Breakdown,ttm,3/31/2019,3/31/2018
Net Income,18508,18747,9865
Depreciation & amortization,7,4,-
Stock based compensation,-,-,657
Change in working capital,-1193,345,1398
Other working capital,8238,8593,5460
Other non-cash items,-9662,-11052,-5612
Net cash provided by operating activites,8238,8593,5460
Acquisitions net,-,0,-74031
Purchases of investments,-34074,-52088,-12236
Sales/Maturities of investments,26020,11030,5542
Other investing activites,-,-26,-4
Net cash used for investing activites,-8054,-41084,-80725
Net change in cash,4347,6480,1600
Cash at beginning of period,4756,3280,1680
Cash at end of period,9103,9760,3280
Operating Cash Flow,8238,8593,5460
Free Cash Flow,8238,8593,5460
