Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,81825,81825,75927,68485,65010
Interest Expense,12455,12455,9411,5732,4959
Income Before Tax,39441,39441,32350,27025,22182
Income Tax Expense,7462,7462,5971,10733,6231
Income from Continuing Operations,31979,31979,26379,16292,15951
Net Income,31979,31979,26379,16292,15951
Net Income available to common shareholders,31979,31979,26379,16292,15951
Basic EPS,-,-,0.78,0.48,0.47
Diluted EPS,-,-,0.78,0.48,0.47
Basic Average Shares,-,-,34018,33947,33923
Diluted Average Shares,-,-,34019,33953,33923
