Breakdown,ttm,1/31/2019,1/31/2018
Total Revenue,2702050,2702050,2473812
Cost of Revenue,139213,139213,151483
Gross Profit,2562836,2562836,2322329
Total Operating Expenses,2330964,2330964,2157195
Operating Income or Loss,231872,231872,165134
Interest Expense,9975,9975,10530
Income Before Tax,218796,218796,153572
Income Tax Expense,44446,44446,72030
Income from Continuing Operations,174350,174350,81542
Net Income,173843,173843,84537
Net Income available to common shareholders,173843,173843,84537
Basic EPS,-,-,93.40
Diluted EPS,-,-,93.40
Basic Average Shares,-,-,905.1
Diluted Average Shares,-,-,905.1
